Titulo;Ano;Sigla;ResumoPT
Aspectos clinicos da mucosa bucal de pacientes com carcinoma epidermoide da boca, sua correlacao com a microbiota fungica e sorotipos de candida albicans antes e durante a radioterapia;1986;ODE;"""Aspectos clinicos da mucosa bucal de pacientes com carcinoma epidermoide da boca, sua correlacao com a microbiota fungica e sorotipos de candida albicans antes e durante a radioterapia"""
Utilizacao do arquivo de dados na simulacao de hipoteses de diagnostico em patologia bucal com auxilio de computadores;1984;ODE;"""Utilizacao do arquivo de dados na simulacao de hipoteses de diagnostico em patologia bucal com auxilio de computadores"""
Contribuicao para o estudo de ligas metalicas do sistema prata - estanho;1971;ODD;"""Contribuicao para o estudo de ligas metalicas do sistema prata - estanho"""
Passagem transplacentaria do fluor e sua quantificacao nas estruturas mineralizadas de ratos recem-nascidos;1968;ODO;"""Passagem transplacentaria do fluor e sua quantificacao nas estruturas mineralizadas de ratos recem-nascidos"""
Contribuicao ao estudo das facetas de desgaste dos dentes naturais, no lado de trabalho, pelo metodo da estereofotogrametria;1972;ODP;"""Contribuicao ao estudo das facetas de desgaste dos dentes naturais, no lado de trabalho, pelo metodo da estereofotogrametria"""
Estudo clinico comparativo entre proteses totais montadas em articuladores totalmente ajustaveis (t.T.), regulados com base na curva de compensacao individual pela tecnica de Paterson e pela tecnica de Hanau;1989;ODP;"""Estudo clinico comparativo entre proteses totais montadas em articuladores totalmente ajustaveis (t.T.), regulados com base na curva de compensacao individual pela tecnica de Paterson e pela tecnica de Hanau"""
Contribuicao ao estudo das variacoes eletroliticas (sodio, potassio e cloro) em traumatizados de face, submetidos a terapeutica cirurgica;1983;ODC;"""Contribuicao ao estudo das variacoes eletroliticas (sodio, potassio e cloro) em traumatizados de face, submetidos a terapeutica cirurgica"""
Influencia das trocas periodicas do cimento cirurgico sobre o processo de reparacao de feridas, apos gengivectomia;1972;ODE;"""Influencia das trocas periodicas do cimento cirurgico sobre o processo de reparacao de feridas, apos gengivectomia"""
Estudo do dimorfismo sexual em niseis e sanseis utilizando medidas lineares da mandibula obtidas em pantomogramas;1989;ODE;"""Estudo do dimorfismo sexual em niseis e sanseis utilizando medidas lineares da mandibula obtidas em pantomogramas"""
Determinacao do eixo terminal de rotacao em pacientes desdentado completo e dentado;1984;ODP;"""Determinacao do eixo terminal de rotacao em pacientes desdentado completo e dentado"""
"Análise comparativa ""in vitro"" da eficiência de corte de alguns instrumentos de uso endodôntico em função de seu tipo e procedência, número de uso e operador";1984;ODD;"""Análise comparativa ""in vitro"" da eficiência de corte de alguns instrumentos de uso endodôntico em função de seu tipo e procedência, número de uso e operador"""
